user_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method
U100000,21,Female,Canada,North America,Basic,8.99,2022-03-01,2022-04-19 00:00:00,Bank Transfer
U100001,17,Female,Nigeria,Africa,Basic,8.99,2022-12-02,2026-02-07,Bank Transfer
U100002,60,Male,Nigeria,Africa,Standard,13.99,2023-09-01,2026-02-07,Card
U100003,60,Male,Nigeria,Africa,Standard,13.99,2024-05-26,2026-02-07,Card
U100004,50,Female,Canada,North America,Basic,8.99,2023-12-19,2026-02-07,Bank Transfer
U100005,40,Female,Nigeria,Africa,Premium,17.99,2023-12-18,2026-02-07,Wallet
U100006,40,Male,South Africa,Africa,Premium,17.99,2022-12-18,2026-02-07,Bank Transfer
U100007,30,Male,USA,North America,Standard,13.99,2022-04-27,2026-02-07,Card
U100008,30,Female,France,Europe,Premium,17.99,2024-03-10,2026-02-07,Card
U100009,50,Female,France,Europe,Standard,13.99,2024-02-07,2026-02-07,Bank Transfer
U100010,17,Female,France,Europe,Premium,17.99,2023-05-18,2026-02-07,Card
U100011,17,Female,Brazil,South America,Premium,17.99,2024-02-22,2026-02-07,Wallet
U100012,50,Male,Japan,Asia,Premium,17.99,2022-09-22,2026-02-07,Bank Transfer
U100013,40,Female,Germany,Europe,Standard,13.99,2022-07-01,2026-02-07,Bank Transfer
U100014,21,Male,Brazil,South America,Premium,17.99,2023-10-17,2026-02-07,Bank Transfer
U100015,21,Male,Germany,Europe,Basic,8.99,2023-03-09,2024-08-03 00:00:00,Bank Transfer
U100016,17,Female,France,Europe,Standard,13.99,2023-07-14,2026-02-07,Wallet
U100017,30,Male,Canada,North America,Premium,17.99,2023-01-29,2026-02-07,Card
U100018,50,Male,Nigeria,Africa,Basic,8.99,2022-06-19,2023-04-28 00:00:00,Card
U100019,40,Male,USA,North America,Basic,8.99,2022-06-12,2023-02-12 00:00:00,Card
U100020,17,Male,South Africa,Africa,Standard,13.99,2022-12-11,2026-02-07,Card
U100021,30,Male,Japan,Asia,Basic,8.99,2024-02-24,2026-02-07,Bank Transfer
U100022,30,Female,Canada,North America,Premium,17.99,2023-03-07,2026-02-07,Wallet
U100023,60,Female,India,Asia,Premium,17.99,2023-12-24,2025-02-08 00:00:00,Wallet
U100024,21,Female,France,Europe,Premium,17.99,2022-09-23,2026-02-07,Wallet
U100025,50,Female,Nigeria,Africa,Standard,13.99,2023-12-28,2026-02-07,Wallet
U100026,21,Female,Brazil,South America,Standard,13.99,2023-02-27,2026-02-07,Bank Transfer
U100027,40,Male,UK,Europe,Premium,17.99,2022-08-29,2026-02-07,Wallet
U100028,50,Female,Brazil,South America,Standard,13.99,2023-05-16,2026-02-07,Card
U100029,21,Female,France,Europe,Premium,17.99,2023-07-19,2026-02-07,Wallet
U100030,17,Female,South Africa,Africa,Standard,13.99,2023-04-15,2024-04-03 00:00:00,Wallet
U100031,30,Female,Germany,Europe,Basic,8.99,2024-05-20,2026-02-07,Bank Transfer
U100032,21,Male,UK,Europe,Standard,13.99,2022-03-31,2026-02-07,Wallet
U100033,21,Male,Germany,Europe,Basic,8.99,2023-06-25,2026-02-07,Bank Transfer
U100034,21,Female,UK,Europe,Standard,13.99,2024-03-07,2025-03-24 00:00:00,Card
U100035,17,Female,Brazil,South America,Basic,8.99,2023-03-29,2026-02-07,Wallet
U100036,40,Female,India,Asia,Basic,8.99,2023-07-10,2026-02-07,Bank Transfer
U100037,50,Male,India,Asia,Premium,17.99,2023-12-26,2026-02-07,Card
U100038,40,Female,UK,Europe,Basic,8.99,2022-07-15,2026-02-07,Bank Transfer
U100039,60,Male,Nigeria,Africa,Premium,17.99,2024-02-20,2026-02-07,Bank Transfer
U100040,17,Male,Nigeria,Africa,Basic,8.99,2022-09-17,2023-02-06 00:00:00,Bank Transfer
U100041,60,Male,Nigeria,Africa,Basic,8.99,2024-01-08,2026-02-07,Bank Transfer
U100042,60,Male,Germany,Europe,Standard,13.99,2023-07-04,2025-01-13 00:00:00,Wallet
U100043,60,Male,Brazil,South America,Standard,13.99,2022-02-12,2026-02-07,Wallet
U100044,30,Female,India,Asia,Premium,17.99,2022-09-17,2026-02-07,Bank Transfer
U100045,50,Male,Japan,Asia,Basic,8.99,2024-01-17,2026-02-07,Card
U100046,21,Male,Canada,North America,Basic,8.99,2024-05-25,2024-07-12 00:00:00,Bank Transfer
U100047,17,Female,UK,Europe,Standard,13.99,2023-05-21,2026-02-07,Bank Transfer
U100048,40,Female,Germany,Europe,Basic,8.99,2023-03-25,2026-02-07,Card
